YYYYMM,MKTRF,SMB,MGMT,PERF,RF
197009,0.041800,0.092540226,-0.078029601,-0.056553051,0.00540
197010,-0.022800,-0.034417427,0.035312635,0.0824681215,0.00460
197011,0.045900,-0.022180644,0.0248796567,-0.007198038,0.00460
197012,0.057200,0.0346487262,-0.005564022,-0.020173632,0.00420
197101,0.048400,0.0358676521,-0.022048003,-0.068367652,0.00380
197102,0.014100,0.0473208126,0.0012207091,0.018808382,0.00330
197103,0.041300,0.0279574097,-0.026292006,0.0159006696,0.00300
197104,0.031500,-0.00695894,0.0051491367,0.0330299086,0.00280
197105,-0.039800,-0.014611415,-0.007348721,0.0289053615,0.00290
197106,-0.001000,-0.010266126,-0.031152498,0.0115240878,0.00370
197107,-0.045000,-0.012991724,0.0157396611,-0.013146279,0.00400
197108,0.037900,0.0267314734,0.0238023203,0.0405451556,0.00470
197109,-0.008500,-0.003041523,-0.008559284,0.029980726,0.00370
197110,-0.044200,-0.017349736,0.0000950957,-0.007404125,0.00370
197111,-0.004600,-0.015544103,0.0119813315,0.0132259088,0.00370
197112,0.087100,0.0478847165,-0.038804638,-0.002756746,0.00370
197201,0.024900,0.0723325873,0.0039944148,0.0181717749,0.00290
197202,0.028700,0.0168533824,-0.013132842,0.0440182292,0.00250
197203,0.006300,0.0139340131,0.0049694698,0.0088881217,0.00270
197204,0.002900,-0.005846662,-0.014577047,0.0106885824,0.00290
197205,0.012500,-0.031517197,-0.014133078,0.0386654358,0.00300
197206,-0.024300,-0.014487434,0.0062686088,0.0233317838,0.00290
197207,-0.008000,-0.015493916,0.0322911278,0.0074002203,0.00310
197208,0.032600,-0.048142013,0.036460756,-0.052761202,0.00290
197209,-0.011400,-0.028942711,-0.003784876,0.0174694173,0.00340
197210,0.005200,-0.022703552,0.0059659607,-0.021573016,0.00400
197211,0.046000,-0.001666914,0.0207977731,-0.047259515,0.00370
197212,0.006200,-0.022624825,0.0020534275,0.051018089,0.00370
197301,-0.032900,-0.009043318,0.0315145759,0.0189421735,0.00440
197302,-0.048500,-0.029396137,0.0270937486,-0.002827273,0.00410
197303,-0.012900,-0.03099728,0.03792884,-0.00360424,0.00460
197304,-0.056800,-0.022958414,0.0567847715,0.0319875075,0.00520
197305,-0.029400,-0.0610015,0.0100815569,0.047221634,0.00510
197306,-0.015600,-0.020130431,0.0317317278,0.0173783308,0.00510
197307,0.050400,0.0277068686,-0.064247242,-0.042146427,0.00640
197308,-0.038400,-0.013281635,0.0130222037,0.0120419795,0.00700
197309,0.047500,0.0292054118,-0.007660261,-0.06660871,0.00680
197310,-0.008600,0.0178418673,0.0406269331,0.0244980177,0.00650
197311,-0.127400,-0.066784596,0.0717043946,0.0202146653,0.00560
197312,0.005800,-0.052075449,0.0136168542,0.003399942,0.00640
197401,-0.001700,0.0998072661,0.017618285,-0.056217762,0.00630
197402,-0.004800,-0.001806865,0.027529831,-0.011331405,0.00580
197403,-0.028100,0.0335751008,0.0090636338,0.0155503522,0.00560
197404,-0.052900,0.0027919475,0.0387616242,0.0356027776,0.00750
197405,-0.046700,-0.025156099,-0.006414117,0.0615078124,0.00750
197406,-0.028300,-0.007888706,0.0268092784,0.0684531223,0.00600
197407,-0.080500,0.0343727803,0.0453925608,-0.036256556,0.00700
197408,-0.093500,0.0023543175,0.0395523413,0.0074195426,0.00600
197409,-0.117700,0.0247363152,0.0632667255,-0.040643201,0.00810
197410,0.161000,-0.047450066,-0.069389752,-0.00609112,0.00510
197411,-0.045100,0.0007956119,0.0219291367,-0.009292238,0.00540
197412,-0.034500,-0.03842693,0.0479797754,0.0011079476,0.00700
197501,0.136600,0.1071366751,-0.001148158,-0.106821882,0.00580
197502,0.055600,-0.00644066,-0.021976643,0.0558510776,0.00430
197503,0.026600,0.0407057021,-0.026375675,0.0288898968,0.00410
197504,0.042300,0.0032635843,-0.01420845,0.0321547756,0.00440
197505,0.051900,0.0088494477,-0.029473612,0.0068930716,0.00440
197506,0.048300,0.0072233133,0.0209197403,-0.040270554,0.00410
197507,-0.065900,0.0231754574,0.017215783,-0.004703811,0.00480
197508,-0.028500,-0.029585272,0.0113116825,0.0182293158,0.00480
197509,-0.042600,-0.007366753,0.0054870129,0.0283262109,0.00530
197510,0.053100,-0.028520107,0.0145786699,0.0229303787,0.00560
197511,0.026500,-0.001406565,0.0120550792,0.0102736053,0.00410
197512,-0.016000,0.0082788221,0.013991125,-0.029297861,0.00480
197601,0.121600,0.082463988,0.0270814131,0.0109483915,0.00470
197602,0.003200,0.0633440259,0.0429631469,-0.01138485,0.00340
197603,0.023300,-0.016362622,0.0055491213,0.0036156725,0.00400
197604,-0.014900,-0.007620316,-0.015288241,-0.007193092,0.00420
197605,-0.013400,-0.011290223,0.001219152,-0.001621289,0.00370
197606,0.040500,-0.005275597,0.0047251594,-0.021722195,0.00430
197607,-0.010700,0.0111035733,0.0194527554,-0.015126663,0.00470
197608,-0.005600,-0.024384757,0.0091863733,0.0001043644,0.00420
197609,0.020600,0.0099382988,-0.002099246,0.0104399321,0.00440
197610,-0.024200,-0.000933549,0.0021328873,-0.020396023,0.00410
197611,0.003600,0.0300020298,-0.00365717,-0.007671567,0.00400
197612,0.056500,0.0426621221,0.0292437426,-0.023066064,0.00400
197701,-0.040500,0.0563440775,0.030404142,-0.008092512,0.00360
197702,-0.019500,0.0104307287,0.0104710445,0.0120922042,0.00350
197703,-0.013700,0.0174727033,-0.006518873,-0.004107533,0.00380
197704,0.001500,0.0122849344,0.0108619482,-0.009552296,0.00380
197705,-0.014600,0.0188894055,0.0056529735,-0.000479587,0.00370
197706,0.047100,0.0304245771,-0.009977358,0.0100160218,0.00400
197707,-0.016900,0.0173525975,0.0111248439,0.0031831087,0.00420
197708,-0.017500,0.0136860041,-0.006110231,0.026610632,0.00440
197709,-0.002700,0.0082201648,-0.001179169,0.0172791329,0.00430
197710,-0.043800,0.0186257783,0.008144809,0.0037567984,0.00490
197711,0.040000,0.0545172693,-0.009636226,0.0168150876,0.00500
197712,0.002700,0.0056524713,-0.006897661,0.0197672032,0.00490
197801,-0.060100,0.0298151716,0.0249624319,-0.012496779,0.00490
197802,-0.013800,0.0314459745,0.0144014871,-0.003292558,0.00460
197803,0.028500,0.03745789,0.0160003576,-0.006683757,0.00530
197804,0.078800,-0.004547078,-0.011758669,0.0307433781,0.00540
197805,0.017600,0.0444430986,-0.022048205,0.0335559442,0.00510
197806,-0.016900,0.020518481,-0.009991557,0.0096106691,0.00540
197807,0.051100,0.0128706016,0.0052211372,0.0296454567,0.00560
197808,0.037500,0.0434950709,0.0009299864,0.0225924301,0.00560
197809,-0.014300,-0.013084864,0.0107081293,-0.027084521,0.00620
197810,-0.119100,-0.111007344,0.0472714445,-0.027731356,0.00680
197811,0.027100,0.034805808,-0.036024924,0.0352691976,0.00700
197812,0.008800,0.0235870566,0.0008301634,0.0311190321,0.00780
197901,0.042300,0.0377994821,-0.009235307,-0.016818795,0.00770
197902,-0.035600,-0.006439047,0.0135024856,-0.012701992,0.00730
197903,0.056800,0.0335658307,-0.02070673,0.0125647806,0.00810
197904,-0.000600,0.02185323,0.0044379092,0.0106012397,0.00800
197905,-0.022100,-0.00435206,0.006691111,-0.000754465,0.00820
197906,0.038500,0.0126518814,-0.001417508,-0.043574681,0.00810
197907,0.008200,0.0085308272,0.005229147,-0.018016799,0.00770
197908,0.055300,0.0219093189,-0.027127409,0.0253847237,0.00770
197909,-0.008200,-0.005928214,0.0072147881,0.0329009511,0.00830
197910,-0.081000,-0.032692709,0.0033967103,0.0282819483,0.00870
197911,0.052100,0.0225684865,-0.040573071,0.0267851888,0.00990
197912,0.017900,0.0344155088,-0.011585057,0.0328725765,0.00950
198001,0.055100,0.0292368733,0.0099803448,0.0414923754,0.00800
198002,-0.012200,-0.013996122,0.0159019254,0.0631828771,0.00890
198003,-0.129000,-0.066840339,0.006559464,-0.064354891,0.01210
198004,0.039700,0.0096934513,-0.014342116,-0.04420135,0.01260
198005,0.052600,0.0145552735,-0.011940841,-0.009460453,0.00810
198006,0.030600,0.0105800281,-0.008448785,0.0037738227,0.00610
198007,0.064900,0.0352434036,-0.031554024,0.0453549361,0.00530
198008,0.018000,0.0379719208,-0.024048989,0.0381267999,0.00640
198009,0.021900,0.0044191002,-0.04250359,0.0499620504,0.00750
198010,0.010600,0.0174674075,-0.020423317,0.0409559391,0.00950
198011,0.095900,-0.041431212,-0.07204375,0.0970704354,0.00960
198012,-0.045200,0.0012162893,0.0302006495,-0.067623791,0.01310
198101,-0.050400,0.0306365037,0.070427066,-0.044600849,0.01040
198102,0.005600,0.0030194012,0.0360408919,-0.004504024,0.01070
198103,0.035600,0.0414365978,-0.001357312,-0.00036435,0.01210
198104,-0.021000,0.060698851,0.0104696306,0.0130827559,0.01080
198105,0.001100,0.0351199514,-0.011769827,0.0151440326,0.01150
198106,-0.023600,-0.018613303,0.0485728346,-0.044906896,0.01350
198107,-0.015400,-0.037877698,-0.013084863,-0.002468332,0.01240
198108,-0.070300,-0.006357549,0.0305713005,-0.014975303,0.01280
198109,-0.071700,-0.005019187,0.0476891024,0.0015733305,0.01240
198110,0.049200,0.014420581,-0.021338036,0.0172645892,0.01210
198111,0.033600,-0.021008786,0.0184389306,-0.012517309,0.01070
198112,-0.036500,0.0248205671,0.0280419547,0.0259077941,0.00870
198201,-0.032400,0.0055916217,0.0329894383,0.0195071397,0.00800
198202,-0.058600,0.0245246482,0.0568659646,0.011411971,0.00920
198203,-0.018700,0.0050242216,0.0331914071,0.0018354658,0.00980
198204,0.032700,0.0266827222,-0.017546191,0.0245177413,0.01130
198205,-0.039900,0.0000983393,0.0225005225,0.021541221,0.01060
198206,-0.030900,0.0115971451,0.0355855268,0.0194334743,0.00960
198207,-0.031900,0.0320354623,0.0182618732,0.0501133505,0.01050
198208,0.111400,-0.045348661,-0.019366675,-0.009434054,0.00760
198209,0.012900,0.0372838225,0.031442003,0.0083598821,0.00510
198210,0.113000,0.0296574832,-0.037917083,-0.026160125,0.00590
198211,0.046700,0.0500744867,-0.010951124,0.0491012856,0.00630
198212,0.005500,-0.002963541,0.0084563975,0.0309181252,0.00670
198301,0.036000,0.014310083,-0.019213675,0.0030648692,0.00690
198302,0.025900,0.0287262826,0.0184834584,0.0334337238,0.00620
198303,0.028200,0.0143718158,0.0436328024,-0.023921764,0.00630
198304,0.066700,-0.015091629,0.0216203735,-0.008704373,0.00710
198305,0.005200,0.0500859583,-0.031935589,-0.039697403,0.00690
198306,0.030700,0.0069701598,-0.001390909,0.0499280637,0.00670
198307,-0.040700,0.0226124991,0.0425123213,-0.022403643,0.00740
198308,-0.005000,-0.045298245,0.0260499674,-0.025786534,0.00760
198309,0.009200,0.0166888678,0.0112903883,0.01034472,0.00760
198310,-0.034400,-0.035464802,0.0456087971,-0.010022674,0.00760
198311,0.021600,0.0165658979,-0.004174964,-0.018190681,0.00700
198312,-0.017800,-0.00221657,0.0455554011,-0.004624308,0.00730
198401,-0.019200,-0.013679471,0.0660665819,-0.0544225,0.00760
198402,-0.048200,-0.003739273,0.0312571155,0.0027976134,0.00710
198403,0.006300,-0.002310532,0.0243397926,-0.007395207,0.00730
198404,-0.005200,-0.00605434,0.0195646563,0.0478746281,0.00810
198405,-0.059700,0.0018789583,0.0101519859,0.048225577,0.00780
198406,0.018200,0.0046078456,-0.009900005,0.0228779675,0.00750
198407,-0.027400,-0.015004223,0.0159300519,0.0321410301,0.00820
198408,0.102800,-0.008455594,-0.036023028,-0.040796818,0.00830
198409,-0.008000,0.0053266937,0.0470600398,-0.01770771,0.00860
198410,-0.008400,-0.006384553,0.0121193347,0.0162087767,0.01000
198411,-0.017600,-0.005096302,0.0309723349,0.0004887632,0.00730
198412,0.018400,-0.000408224,-0.005782866,0.0115211449,0.00640
198501,0.079900,0.0208406522,-0.043100819,-0.023659534,0.00650
198502,0.012200,0.0083255527,0.0269276446,0.0158789971,0.00580
198503,-0.008400,-0.017513794,0.0435237671,-0.009169049,0.00620
198504,-0.009600,0.0039752865,0.0340863836,-0.012671277,0.00720
198505,0.050900,-0.017004202,0.0054962577,0.0208702631,0.00660
198506,0.012700,-0.001962866,0.0025647487,0.0196048728,0.00550
198507,-0.007400,0.0338932261,0.006750298,0.0006305057,0.00620
198508,-0.010200,0.0100920934,0.0291128485,0.0005502637,0.00550
198509,-0.045400,-0.005549517,0.0503895144,0.0227474579,0.00600
198510,0.040200,-0.017524233,0.0027095585,0.0031413719,0.00650
198511,0.064800,0.0106394258,-0.023711712,0.0221307722,0.00610
198512,0.038800,0.0009164811,-0.005056615,0.0175635973,0.00650
198601,0.006500,0.0083023628,-0.012081668,0.0067857699,0.00560
198602,0.071300,-0.006417699,0.0080973898,0.0064304892,0.00530
198603,0.048800,0.0008790993,0.010739917,0.0059232034,0.00600
198604,-0.013100,0.0349328287,-0.000071154,0.0445825596,0.00520
198605,0.046200,-0.006860792,0.0107591411,0.011979997,0.00490
198606,0.010300,-0.019358147,-0.001360478,0.0378913651,0.00520
198607,-0.064500,-0.026024693,0.0339481285,0.0225837994,0.00520
198608,0.060700,-0.031732861,0.0309692186,-0.040284112,0.00460
198609,-0.086000,0.0297245995,0.0377405067,-0.038574537,0.00450
