period,num_inst,total_aum_B,rigid_aum_B,dynamic_aum_B,scqr_aum_B
2010-2012,440,30678.487168303687,207.57918718552253,30470.907981118165,24376.726384894533
2013-2016,467,53037.79863461572,29.19655635777,53008.60207825795,42406.88166260636
2017-2020,473,69945.28349596832,11.91563234546,69933.36786362287,55946.694290898304
2021,440,31844.44288966129,0.0,31844.44288966129,25475.554311729036
