period,num_inst,tot_inst_aum_B,avg_pos_hold
2010-2012,3226,10447.45124563426,248.1317186240258
2013-2016,4002,15232.350110234225,258.96115504332465
2017-2020,5231,19754.748719487616,248.27191194455767
2021,4838,28657.721920342607,233.69714487966021
