month,permno,ret,me_lag1,me_now,max,beta,ivol,bm,mom,rev,illiq,ce,roe,ia,sic
201801,14593,-0.010636,860882486880.0,849541945849.87,0.012362399999999999,1.2890828216927883,0.009787132777116191,-1.7060059673405916,0.5073408576867771,-0.010636,1.3278674476327317e-06,-0.11319823562862735,0.296153447247647,0.0,3663
201802,14593,0.06761,849541945849.87,903783195560.0001,0.030771600000000003,1.2405946239316399,0.009601749415927459,-1.7678981540520962,0.4167160001130856,0.06761,2.0179835123230676e-06,-0.09096343932011766,0.296153447247647,0.0,3663
201803,14593,-0.058051,903783195560.0001,829383853960.0,0.0186084,,,-1.6819917308335148,0.23647785975230962,-0.058051,2.0209736635131534e-06,-0.08225465414079948,0.296153447247647,0.0,3663
201804,14593,-0.01502,829383853960.0,812275656728.6199,0.016015,1.2253068942878154,0.010352694944724036,-1.5905604568354708,0.25878584505446134,-0.01502,2.1576255298961673e-06,-0.08684101457012432,0.3134220966110924,0.1667246942670803,3663
201805,14593,0.135181,812275656728.6199,918491838060.0001,0.026056199999999995,1.19308149257536,0.010727911460428426,-1.7134537140073087,0.18579507361835823,0.135181,1.512080088672511e-06,-0.09913428933003285,0.3134220966110924,0.1667246942670803,3663
201806,14593,-0.009418,918491838060.0001,896472365870.0001,0.0107578,,,-1.6891881636621398,0.09381912000012216,-0.009418,1.4404987379226027e-06,-0.11894694583209528,0.3134220966110924,0.1667246942670803,3663
201807,14593,0.027983,896472365870.0001,919086570240.74,0.013025199999999997,1.1789782807424984,0.010252359353112373,-1.7141010139525186,0.31703555468670364,0.027983,2.274486231698015e-06,-0.11936910603240863,0.29206105671364113,0.1667246942670803,3663
201808,14593,0.200063,919086570240.74,1099436055379.9999,0.027538,1.1409269175582102,0.010632075625271749,-1.8932733459492705,0.2633162201682806,0.200063,1.3325016612115445e-06,-0.14722751212095808,0.29206105671364113,0.1667246942670803,3663
201809,14593,-0.008303,1099436055379.9999,1073390587189.8601,0.018394399999999998,,,-1.8692983861038908,0.17324214630636803,-0.008303,1.509202170416557e-06,-0.1793023830189897,0.29206105671364113,0.1667246942670803,3663
201810,14593,-0.030478,1073390587189.8601,1038577806280.0001,0.024190200000000002,1.1693547292312108,0.01084971313586366,-1.8363282578545463,0.49822346420013086,-0.030478,2.2197073795153563e-06,-0.13383017914986822,0.29206105671364113,0.0,3663
201811,14593,-0.180709,1038577806280.0001,847433174840.0,0.0244672,1.2771313782000104,0.011947381358447532,-1.6329326819533194,0.35464339681774537,-0.180709,2.52983399144298e-06,-0.09491683454046868,0.29206105671364113,0.0,3663
201812,14593,-0.116698,847433174840.0,746079172518.03,0.027792400000000002,1.3181509688490096,0.012105157918922083,-1.5055524195070054,0.28716281214243544,-0.116698,2.811697833903097e-06,-0.08904349925932828,0.29206105671364113,0.0,3663
201901,14593,0.055154,746079172518.03,784811203200.0,0.0367382,1.4109100530209162,0.013225110646622018,-1.5561638789324526,0.07088766079953746,0.055154,2.868532130183427e-06,-0.08807225364403837,0.29206105671364113,0.0,3663
201902,14593,0.044701,784811203200.0,816450684847.2001,0.014516199999999998,1.448235293697693,0.012892069550846966,-1.5956872079127484,-0.0439138552044005,0.044701,1.6218884573446148e-06,-0.08879367990526484,0.29206105671364113,0.0,3663
201903,14593,0.097026,816450684847.2001,895667436000.0,0.0213664,,,-1.6882898744513466,-0.05506868610667204,0.097026,1.8563314506423632e-06,-0.07280662570324627,0.29206105671364113,0.0,3663
201904,14593,0.056436,895667436000.0,923297720250.0,0.0142048,1.4924646871703833,0.012835484765095315,-2.1497820527714615,0.0480086380002247,0.056436,1.4270648684325775e-06,-0.1049859349857935,0.35959311632065044,-0.025562255041711186,3663
201905,14593,-0.123735,923297720250.0,805510246260.7499,0.0216994,1.5282421310869534,0.012933515620756869,-2.0133062360378835,0.16722443512643337,-0.123735,2.289694964900721e-06,-0.08310578138281136,0.35959311632065044,-0.025562255041711186,3663
201906,14593,0.130519,805510246260.7499,896853698400.0,0.024898399999999998,,,-2.120723060881424,0.08625665276923122,0.130519,2.2945773896078394e-06,-0.0858886494048896,0.35959311632065044,-0.025562255041711186,3663
201907,14593,0.076395,896853698400.0,962766062008.2,0.016569599999999997,1.530898570224097,0.013345931255490912,-2.191640769151597,-0.039101572773551085,0.076395,2.19237049622862e-06,-0.09104283776452915,0.5534009463341173,-0.025562255041711186,3663
201908,14593,-0.01657,962766062008.2,943333678391.8,0.025185599999999995,,,-2.1712503808838544,0.05674308723939814,-0.01657,2.5517957236142875e-06,-0.08527118551903323,0.5534009463341173,-0.025562255041711186,3663
201909,14593,0.072962,943333678391.8,995151566920.0,0.0214478,1.559218592238939,0.012498261437074349,-2.2247253672489764,-0.05215561567263405,0.072962,1.8629896126451424e-06,-0.08420570307414373,0.5534009463341173,0.0,3663
