panel,variant,jan,febdec,full,n_months
base,all,-7.262690392780165,1.5276881785697913,0.7951566309572953,456
base,annual,3.728980429728601,1.1020751219537233,1.3209838976016295,456
base,nonannual,-9.343759344881983,1.345735379647142,0.45494415260304855,456
i_ge12prior,all,-7.40107409596566,1.551520148948707,0.8054706285391766,456
i_ge12prior,annual,3.7276380585140636,1.1066006596210467,1.3250204428621315,456
i_ge12prior,nonannual,-9.607831093188047,1.3212973309860754,0.41053662897156507,456
ii_ex_bottom_ME_tercile,all,-2.3552976116618485,1.3710878174029222,1.0605556983141913,456
ii_ex_bottom_ME_tercile,annual,1.5698163831132574,0.9523566031308313,1.0038115847960332,456
ii_ex_bottom_ME_tercile,nonannual,-3.046301135268745,1.2566180622267205,0.8980414624354316,456
iii_premerge_returns,all,-7.526909945345288,1.2970802183067334,0.561747704669065,456
iii_premerge_returns,annual,3.663442391360877,1.0011270084037966,1.2229866236502203,456
iii_premerge_returns,nonannual,-9.688631104100102,1.109400269216934,0.2095643214405144,456
