group,mean,t1_pair,t2_lagmean,t3_calmonth,n_lags,n_cal
all,-0.0009511606740205092,-25.154913023474744,-211.32525752144753,-1843.8857595959494,479,12
nonannual,-0.002339222874670223,-62.39421596182596,-567.657223853657,-2806.95256588968,440,12
annual,0.014709028256386519,362.20335357481207,3075.735219967138,1310.6334755232895,39,12
